,x,x_5,x_4,x_3,x_2,x_1,label,cites,author,title,year,source,publisher,articleurl,citesurl,gsrank,querydate,type,doi,issn,citationurl,volume,issue,startpage,endpage,ecc,citesperyear,citesperauthor,authorcount,age,abstract,fulltexturl,relatedurl,citation,screened_titles,notes,screened_abstracts
1,1,1,1,2,2,2,ref_09,0,"T Dahiru, A Jibo, A A Hassan, A T Mande",Prevalence of diabetes in a semi-urban community in Northern Nigeria.,2008,Nigerian journal of medicine : journal of the National Association of Resident Doctors of Nigeria,NA,NA,NA,9,30/07/2021 22:30,Journal Article,10.4314/njm.v17i4.37423,1115-2613,NA,17,4,414,416,0,0,0,4,13,"Diabetes mellitus is a growing public health problem both in developing and developed nations. The prevalence of diabetes globally is projected to rise from 2.8% in 2000 to 4.4% in 2030. This study was conducted to assess the prevalence of diabetes in Dakace village, near Zaria This study was part of a larger study to assess the prevalence of cardiovascular disease risk factors among adults in Dakace village, near Zaria. Out of a total of 492 eligible respondents for the study, a subsample of 199 persons was recruited using a systematic sampling technique had their fasting blood glucose levels determined. Body mass indices of the participants were also determined. A total of 199 subjects (94 males and 105 females) participated in this segment of the study Three subjects had fasting blood glucose (FBG) of more than 7.0 mmol/L; one participant a previously known diabetic on medication had a good glycaemic control. The overall prevalence of diabetes was 2.0%.Five participants (2.5%) had impaired fasting glucose (IFG). Among the diabetics, one was overweight (BMI = 27.43 Kg/m2) and one was obese (BMI = 31.55 Kg/m2), while among those with impaired fasting glucose two were overweight. Forty-three subjects (21.6%) were overweight and 15 (7.5%) were obese. The prevalence of diabetes mellitus in this semi-urban community is keeping with what had been reported earlier from across the country.",NA,NA,"T Dahiru, A Jibo, A A Hassan, A T Mande (2008) Prevalence of Diabetes in a Semi-Urban Community in Northern Nigeria. <i>Nigerian Journal of Medicine : Journal of the National Association of Resident Doctors of Nigeria</i>. ",selected,NA,selected
2,3,3,3,16,16,16,ref_016,28,"KW Wahab, M Sani, M Gbadamosi…",Frequency and determinants of the metabolic syndrome in apparently healthy adult Nigerians,2008,Tropical …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1258/td.2007.070335,"https://scholar.google.com/scholar?cites=17464672362376058379&as_sdt=2005&sciodt=0,5&hl=en",16,31/07/2021 8:05,,10.1258/td.2007.070335,NA,NA,NA,NA,NA,NA,28,2.15,7,4,13,"… Download article citation data for: Frequency and determinants of the metabolic syndrome in apparently healthy adult Nigerians. Kolawole Wasiu Wahab, MBBS FMCP , Mahmoud Sani, MBBS FWACP , Maruf Gbadamosi, MBBS , and Mahmoud Yandutse, BSc …",https://www.researchgate.net/profile/Mahmoud-Sani/publication/23285868_Frequency_and_determinants_of_the_metabolic_syndrome_in_apparently_healthy_adult_Nigerians/links/0deec5297bcca46f59000000/Frequency-and-determinants-of-the-metabolic-syndrome-in-apparently-healthy-adult-Nigerians.pdf,"https://scholar.google.com/scholar?q=related:C9YBVvv6XvIJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2010&as_vis=1","KW Wahab, M Sani, M Gbadamosi… (2008) Frequency and Determinants of the Metabolic Syndrome in Apparently Healthy Adult Nigerians. <i>Tropical �</i>. ",selected,NA,selected
3,7,7,7,28,28,28,ref_028,1,AA SABIR,Glucose tolerance among rural and urban Fulani of northern Nigeria,2008,Faculty of INTERNAL MEDICINE,dissertation.npmcn.edu.ng,http://www.dissertation.npmcn.edu.ng/index.php/FMCP/article/download/520/677,"https://scholar.google.com/scholar?cites=7638073202752915534&as_sdt=2005&sciodt=0,5&hl=en",28,31/07/2021 8:05,PDF,,NA,NA,NA,NA,NA,NA,1,0.08,1,1,13,… Both of them refer to a stage intermediate between normal glucose homeostasis and diabetes. Impaired fasting glucose refers to a level of plasma glucose after an … reported the prevalence of diabetes mellitus in Nigeria to be 2.2% with … suburban Northern Nigerian population …,http://www.dissertation.npmcn.edu.ng/index.php/FMCP/article/download/520/677,"https://scholar.google.com/scholar?q=related:ToiEEhzj_2kJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2010&as_vis=1",AA SABIR (2008) Glucose Tolerance among Rural and Urban Fulani of Northern Nigeria. <i>Faculty of Internal Medicine</i>. ,selected,NA,selected
4,8,8,8,39,39,39,ref_039,285,"OO Oladapo, L Salako, O Sodiq, K Shoyinka…",A prevalence of cardiometabolic risk factors among a rural Yoruba south-western Nigerian population: a population-based survey: cardiovascular topics,2010,… journal of Africa,journals.co.za,https://journals.co.za/doi/abs/10.10520/EJC23323,"https://scholar.google.com/scholar?cites=3622257566142375370&as_sdt=2005&sciodt=0,5&hl=en",39,31/07/2021 8:05,,10.10520/EJC23323,NA,NA,NA,NA,NA,NA,285,25.91,57,5,11,"… known diabetes or a fasting plasma glucose of ≥ 126 mg/dl, and impaired fasting glucose was defined as … undertaken to determine the prevalence of cardiometabolic risk factors in a western Nigerian rural adult … over 55 years of age in the south-western portion of Nigeria,25 and …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3721297/,"https://scholar.google.com/scholar?q=related:yiXjmhDYRDIJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2010&as_vis=1","OO Oladapo, L Salako, O Sodiq, K Shoyinka… (2010) a Prevalence of Cardiometabolic Risk Factors among a Rural Yoruba South-Western Nigerian Population: a Population-Based Survey: Cardiovascular Topics. <i>� Journal of Africa</i>. ",selected,NA,selected
5,9,9,9,40,40,40,ref_043,0,E ANIEKWENSI,"… CIRCUMFERENCE AND WAIST-TO-HIP RATIO AS CORRELATES OF GLUCOSE INTOLERANCE AMONG URBAN ADULTS IN JOS METROPOLIS, NIGERIA",2010,Faculty of INTERNAL MEDICINE,dissertation.npmcn.edu.ng,http://www.dissertation.npmcn.edu.ng/index.php/FMCP/article/download/554/645,,43,30/07/2021 23:01,PDF,,NA,NA,NA,NA,NA,NA,0,0,0,1,11,… A DISSERTATION SUBMITTED TO THE NATIONAL POSTGRADUATE MEDICAL COLLEGE OF NIGERIA IN … Impaired glucose tolerance -- - - - 9 … Few studies have evaluated the relationship between anthropometric indices and Glucose Intolerance in Nigerian population …,http://www.dissertation.npmcn.edu.ng/index.php/FMCP/article/download/554/645,"https://scholar.google.com/scholar?q=related:fu6fyImueqcJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2012&as_vis=1","E ANIEKWENSI (2010) � Circumference and Waist-to-Hip Ratio as Correlates of Glucose Intolerance among Urban Adults in Jos Metropolis, Nigeria. <i>Faculty of Internal Medicine</i>. ",selected,NA,selected
6,15,15,15,353,353,353,ref_05,0,"C A Alikor, P C Emem-Chioma",EPIDEMIOLOGY OF DIABETES AND IMPAIRED FASTING GLUCOSE IN A RURAL COMMUNITY OF NIGERIAN NIGER DELTA REGION.,2015,Nigerian journal of medicine : journal of the National Association of Resident Doctors of Nigeria,NA,NA,NA,5,30/07/2021 22:30,Journal Article,,1115-2613,NA,24,2,114,124,0,0,0,2,6,"The prevalence of diabetes mellitus is reaching epidemic rates globally. It had an estimated global incidence of 220 million in 2010. Different studies in SSA and Nigeria in particular have reported increasing prevalence of diabetes in the rural areas. This may be attributed to the rapid 'westernization' of lifestyle in the rural African community.Only few rural survey have been conducted in the Nigeria oil-rich Niger Delta region necessitating this study with the aim of determining the prevalence of diabetes and impaired fasting glucose (IFG). This was a cross-sectional survey involving 500 subjects aged 15 years and above in a typical rural community of Rivers State, Niger Delta region of Nigeria. A questionnaire administered by face-to-face interview was used to assess socio-demographic characteristics of the subjects. Medical history such as prior knowledge of blood sugar status and family history of diabetes were all elicited by the questionnaire. Anthropometric and blood pressure measurements were taken in a standardized manner and body mass indices (BMI) calculated as weight in kilogram divided by the square of height in meters. Venous blood glucose was measured by the glucose oxidase method. Diabetes mellitus was defined using fasting plasma glucose (FPG) ≥ 7.0 mmol/l (126 mg/dl) and individuals who were previously known to have diabetes based on history of treatment were also classified to have diabetes. Lipid profile and uric acid of patients were also checked. There were 156 males and 344 females with male to female ratio of 1:2.3.The females were relatively of younger age than the males (40.62 ± 16.6 years versus 42.84 ± 17.8).The overall mean age was 41.32 ± 17. The mean fasting plasma glucose among those with diabetes was 11.14?4. 00mmol/L while the mean for the subjects with impaired fasting glucose was 6.31 ± 0.25 mmol/l. The prevalence of diabetes was 2.2% with no significant gender difference (2.6% in males versus 2.0% in females; χ2 = 0.35; p = 0.84). The prevalence of Impaired fasting glucose (IFG) was 2.4%with no significant gender difference (Female 2.6% versus males 1.9%; p = 0.88). The mean fasting glucose increased significantly with blood pressure (p = 0.05), waist circumference (p < 0.001), uric acid level (0.02), triglyceride level (< 0.001) and age (p = 0.02).The correlation analyses showed that age, systolic blood pressure, waist-hip-ratio and triglycerides are positively correlated with diabetes and impaired fasting glucose in this study. There is a low prevalence of diabetes and IFG in this rural community which may be associated to the high level of physical activity found among the study subjects in this community. However, this study confirmed that increasing age, abdominal obesity, systolic blood pressure and triglyceride level have positive relationship with the prevalence of diabetes and IFG. There is hence more need for intensified screening for diabetes, pre-diabetes and associated risk factors in order to curb or at least reduce diabetes prevalence and its attendant complications.",NA,NA,"C A Alikor, P C Emem-Chioma (2015) Epidemiology of Diabetes and Impaired Fasting Glucose in a Rural Community of Nigerian Niger Delta Region. <i>Nigerian Journal of Medicine : Journal of the National Association of Resident Doctors of Nigeria</i>. ",selected,NA,selected
7,16,16,16,354,354,354,ref_004,24,LY Ojewale and PO Adejumo,Type 2 diabetes mellitus and impaired fasting blood glucose in urban south western Nigeria,2012,Int J Diabetes Metab,researchgate.net,https://www.researchgate.net/profile/Lucia-Ojewale-2/publication/268351315_Type_2_Diabetes_Mellitus_and_Impaired_Fasting_Blood_Glucose_in_Urban_South_Western_Nigeria/links/5e9db8054585150839ec48aa/Type-2-Diabetes-Mellitus-and-Impaired-Fasting-Blood-Glucose-in-Urban-South-Western-Nigeria.pdf,"https://scholar.google.com/scholar?cites=14702037043410782341&as_sdt=2005&sciodt=0,5&hl=en",4,30/07/2021 23:01,PDF,,NA,NA,NA,NA,NA,NA,24,2.67,12,2,9,"… In the Nigerian Civil service, civil servants are generally classified into junior and senior civil servants with junior … Prevalence of diabetes mellitus and impaired glucose tolerance in a group of urban adults in Nigeria J Natl Med … Prevalence of adult diabetes in Ibadan, Nigeria …",https://www.researchgate.net/profile/Lucia-Ojewale-2/publication/268351315_Type_2_Diabetes_Mellitus_and_Impaired_Fasting_Blood_Glucose_in_Urban_South_Western_Nigeria/links/5e9db8054585150839ec48aa/Type-2-Diabetes-Mellitus-and-Impaired-Fasting-Blood-Glucose-in-Urban-South-Western-Nigeria.pdf,"https://scholar.google.com/scholar?q=related:hUgi18sgCMwJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2012&as_vis=1",LY Ojewale et al. (2012) Type 2 Diabetes Mellitus and Impaired Fasting Blood Glucose in Urban South Western Nigeria. <i>Int j Diabetes Metab</i>. ,selected,NA,selected
8,17,17,17,356,356,356,ref_001,46,"CECC Ejike and NK Uka, ...","Diabetes and pre-diabetes in adult Nigerians: Prevalence, and correlations of blood glucose concentrations with measures of obesity",2015,African Journal of …,academicjournals.org,https://academicjournals.org/journal/AJBR/article-abstract/90DCAF752045,"https://scholar.google.com/scholar?cites=14605766791247326487&as_sdt=2005&sciodt=0,5&hl=en",1,31/07/2021 4:58,,,NA,NA,NA,NA,NA,NA,46,7.67,15,3,6,"… disease and BMI-metabolic-risk sub-phenotypes in an adult Nigerian population … A populationbased study of the prevalence of diabetes and impaired glucose tolerance in adults in northern … in Calabar: a cross-sectional observational study among residents of Calabar, Nigeria …",https://academicjournals.org/journal/AJBR/article-full-text-pdf/90DCAF752045,"https://scholar.google.com/scholar?q=related:F21-EIMbssoJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2015&as_vis=1","CECC Ejike et al. (2015) Diabetes and Pre-Diabetes in Adult Nigerians: Prevalence, and Correlations of Blood Glucose Concentrations with Measures of Obesity. <i>African Journal of �</i>. ",selected,NA,selected
9,18,18,18,357,357,357,ref_06,0,"O E Enang, A A Otu, O E Essien, H Okpara, O A Fasanmade, A E Ohwovoriole, J Searle","Prevalence of dysglycemia in Calabar: a cross-sectional observational study among residents of Calabar, Nigeria.",2014,BMJ open diabetes research & care,NA,NA,NA,6,30/07/2021 22:30,Journal Article,10.1136/bmjdrc-2014-000032,2052-4897,NA,2,1,NA,NA,0,0,0,7,7,"Population data on dysglycemia are scarce in West Africa. This study aimed to determine the pattern of dysglycemia in Calabar city in South East Nigeria. This was a cross-sectional observational study. 1134 adults in Calabar were recruited. A multistage sampling method randomly selected 4 out of 22 wards, and 50 households from each ward. All adults within each household were recruited and an oral glucose tolerance test was performed. Dysglycemia was defined as any form of glucose intolerance, including: impaired fasting glucose (blood glucose level 110-125 mg/dL), impaired glucose tolerance (blood glucose level ≥140 mg/dL 2 h after consuming 75 g of glucose), or diabetes mellitus (DM), as defined by fasting glucose level ≥126 mg/dL, or a blood glucose level ≥200 mg/dL, 2 h after a 75 g glucose load. Mean values of fasting plasma glucose were 95 mg/dL (95% CI 92.1 to 97.5) for men and 96 mg/dL (95% CI 93.2 to 98.6) for women. The overall prevalence of dysglycemia was 24%. The prevalence of impaired fasting glucose was 9%, the prevalence of impaired glucose tolerance 20%, and the prevalence of undiagnosed DM 7%. All values were a few percentage points higher for men than women. The prevalence of undiagnosed DM among residents of Calabar is similar to studies elsewhere in Nigeria but much higher than the previous national prevalence survey, with close to a quarter of the adults having dysglycemia and 7% having undiagnosed DM. This is a serious public health problem requiring a programme of mass education and case identification and management in all health facilities. CRS/MH/CR-HREC/020/Vol.8/43.",NA,NA,"O E Enang, A A Otu, O E Essien, H Okpara, O A Fasanmade, A E Ohwovoriole, J Searle (2014) Prevalence of Dysglycemia in Calabar: a Cross-Sectional Observational Study among Residents of Calabar, Nigeria. <i>Bmj Open Diabetes Research & Care</i>. ",selected,NA,selected
10,20,20,20,366,366,366,ref_04,0,"A M Olamoyegun, R Oluyombo, O S Iwuala, A B Gbadegesin, O Olaifa, A O Babatunde, O S Asaolu","Epidemiology and Risk Factors for Diabetes in Semi-Urban Communities in South West, Nigeria.",2014,West African journal of medicine,NA,NA,NA,4,30/07/2021 22:30,Journal Article,,0189-160X,NA,33,4,264,269,0,0,0,7,7,"Diabetes mellitus (DM) is a growing public health problem both in developing and developed countries. The prevalence of diabetes has doubled in the last 20 years. This study aimed to assess the burden of type 2 diabetes in semi-urban communities in Ekiti, South-West Nigeria. This study was part of a larger study to assess the prevalence of cardiovascular risk factors among adults (>18 years) dwellers in 10 semi-urban communities. A total of 750 respondents took part in the study, using stratified sampling method to recruit participants within these communities. They had their clinical history assessed, fasting blood glucose (FBG) determined and body mass indices measured. Of the 750 participants recruited 529 (70.5%) were females, 51 (6.8%) had FBG >7.0mmol/L (126mg/dl), hence were diagnosed as having DM and 45 participants (6.0%) had Impaired fasting glucose (IFG). Both DM and IFG were higher in males than females but the differences not statistically significantly. All indices of anthropometry (BMI, WC and WHR) were significantly higher in females than males. Family history of diabetes, age, BMI, WC and systolic hypertension were significantly associated with DM. The prevalence and risk factors for the development of DM and IFG are high in these communities. This requires prompt and adequate health promotion so as to reduce the burden of these conditions in this environment.",NA,NA,"A M Olamoyegun, R Oluyombo, O S Iwuala, A B Gbadegesin, O Olaifa, A O Babatunde, O S Asaolu (2014) Epidemiology and Risk Factors for Diabetes in Semi-Urban Communities in South West, Nigeria. <i>West African Journal of Medicine</i>. ",selected,NA,selected
