Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
36,"AA Akintunde","Epidemiology of conventional cardiovascular risk factors among hypertensive subjects with normal and impaired fasting glucose",2010,"South African Medical Journal","ajol.info","https://www.ajol.info/index.php/samj/article/view/69704","https://scholar.google.com/scholar?cites=13626764167482871667&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-07-31 08:05:57","","","","",,,,,36,3.27,36,1,11,"… NFG = normal fasting glucose; IFG = impaired fasting glucose Page 4 … Abnormal glucose tolerance in 'early' hypertension in Nigeria … Kesteloot H, Oviasu VO, Obasohan AO, Olomu A, Cobbaert C, Lissens W. Serum lipid and apolipoprotein levels in a Nigerian population sample …","https://www.ajol.info/index.php/samj/article/view/69704/57714","https://scholar.google.com/scholar?q=related:c4_WCND9G70J:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2010&as_vis=1"
59,"T Dahiru, A Jibo, AA Hassan, AT Mande","Prevalence of diabetes in a semi-urban community in Northern Nigeria.",2008,"Nigerian Journal of Medicine","ajol.info","https://www.ajol.info/index.php/njm/article/view/37423","https://scholar.google.com/scholar?cites=313180801719994464&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-07-31 08:05:57","","","","",,,,,59,4.54,15,4,13,"… 27.43Kg/m ) and 2 one was obese (BMI=31.55Kg/m ), while among those with impaired fasting glucose two were … Prevalence of diabetes in a semi-urban community in northern Nigeria … Nigerian Journal of Medicine, Vol.17, No.4 September - December 2008, ISSN 1115 2613 …","https://www.ajol.info/index.php/njm/article/view/37423/63696","https://scholar.google.com/scholar?q=related:YAj-pEekWAQJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2010&as_vis=1"
12,"OE Essien, EJ Peters, AE Udoh, JU Ekott…","Prevalence and pattern of abnormal glucose tolerance in adult Nigerians with primary hypertension",2007,"Nigerian Journal of …","ajol.info","https://www.ajol.info/index.php/njm/article/view/37281","https://scholar.google.com/scholar?cites=16223532803064461946&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-07-31 08:05:57","","","","",,,,,12,0.86,2,5,14,"… Introduction Abnormal glucose tolerance- (Impaired glucose tolerance IGT, Impaired fasting glucose IFG, Diabetes … that glucose intolerance is common in hypertensive subjects, in Benin, Nigeria … study which had shown that some adult hypertensive Nigerian responded to …","https://www.ajol.info/index.php/njm/article/view/37281/6842","https://scholar.google.com/scholar?q=related:evqN4CCRJeEJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2010&as_vis=1"
122,"NM Baldé, I Diallo, MD Baldé, IS Barry, L Kaba…","Diabetes and impaired fasting glucose in rural and urban populations in Futa Jallon (Guinea): prevalence and associated risk factors",2007,"Diabetes & …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1262363606000024","https://scholar.google.com/scholar?cites=1136047649467064036&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-07-31 08:05:57","","","","",,,,,122,8.71,20,6,14,"… Furthermore, data collected in Nigeria [8] and Mali [9] suggested that a Fulani ethnic group would be exposed to greater risk of DM. The aim of this study was to give an estimation of the prevalence of DM and impaired fasting glucose (IFG) in rural and urban areas of Futa Jallon …","https://www.academia.edu/download/46612881/Diabetes_and_impaired_fasting_glucose_in20160619-12341-7mx1zw.pdf","https://scholar.google.com/scholar?q=related:5N5mclENxA8J:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2010&as_vis=1"
321,"YS Levitzky, MJ Pencina, RB D'Agostino…","Impact of impaired fasting glucose on cardiovascular disease: the Framingham Heart Study",2008,"Journal of the American …","jacc.org","https://www.jacc.org/doi/abs/10.1016/j.jacc.2007.09.038","https://scholar.google.com/scholar?cites=4680765579457352654&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-07-31 08:05:57","","10.1016/j.jacc.2007.09.038","","",,,,,321,24.69,80,4,13,"… Impact of Impaired Fasting Glucose on Cardiovascular Disease: The Framingham Heart Study. Coronary Heart Disease … Objectives: We sought to determine whether impaired fasting glucose (IFG) predicts cardiovascular disease (CVD) events. Background …","https://www.sciencedirect.com/science/article/pii/S0735109707034213/pdf?md5=7bd7a437e9de7f0ac486f3d563eb78c9&pid=1-s2.0-S0735109707034213-main.pdf&_valck=1","https://scholar.google.com/scholar?q=related:zlNuqH5r9UAJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2010&as_vis=1"
4,"KO Olafimihan, BA Ayinmode…","Erectile dysfunction as a marker of impaired fasting blood glucose (IFG)",2010,"… Journal of Medicine …","academicjournals.org","https://academicjournals.org/journal/IJMMS/article-abstract/EF839B7364","https://scholar.google.com/scholar?cites=3000660127033125999&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-07-31 08:05:57","","","","",,,,,4,0.36,1,3,11,"… Chemical Pathology and Immunology, University of Ilorin Teaching Hospital, PMB 1459, Ilorin, Kwara State, Nigeria … n2 = Number of respondents with normal, impaired fasting glucose/diabetes with ED … of 57.4% reported in a recent study carried out in four Nigerian cities – Kano …","https://academicjournals.org/journal/IJMMS/article-full-text-pdf/EF839B7364.pdf","https://scholar.google.com/scholar?q=related:b-x8w3x8pCkJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2010&as_vis=1"
61,"M Pruijm, G Wuerzner, M Maillard…","Glomerular hyperfiltration and increased proximal sodium reabsorption in subjects with type 2 diabetes or impaired fasting glucose in a population of the African …",2010,"Nephrology Dialysis …","academic.oup.com","https://academic.oup.com/ndt/article-abstract/25/7/2225/1867742","https://scholar.google.com/scholar?cites=15846305289532447221&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-07-31 08:05:57","","","","",,,,,61,5.55,15,4,11,"… Glomerular hyperfiltration and increased proximal sodium reabsorption in subjects with type 2 diabetes or impaired fasting glucose in a population of the African region … Covariable . Normal fasting glucose . Impaired fasting glucose . Diabetes . P trend . n, 303, 24, 36 …","https://academic.oup.com/ndt/article/25/7/2225/1867742","https://scholar.google.com/scholar?q=related:9Zn5GLRi6dsJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2010&as_vis=1"
4,"DP Oparinde, EK Oghagbon, SA Adebisi…","Oral glucose tolerance test (OGTT) in Ilorin, Nigeria",2006,"Tropical Journal of …","ajol.info","https://www.ajol.info/index.php/tjhc/article/view/36692","https://scholar.google.com/scholar?cites=17168553166396399392&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-07-31 08:05:57","","","","",,,,,4,0.27,1,4,15,"… 216 patients who presented at the Metabolic Clinic of the University of Ilorin Teaching Hospital, Nigeria, between January … Indications were as follows; 34(15.74%) obstetrics, 164 (75.93%) impaired fasting glucose (IFG), 8(3.70%) unexplained retinopathy, 4(1.85%) previous …","https://www.researchgate.net/profile/Simeon-Adebisi/publication/353121840_ORAL_GLUCOSE_TOLERANCE_TEST_OGTT_IN_ILORIN_NIGERIA/links/60e82a69b8c0d5588ce39326/ORAL-GLUCOSE-TOLERANCE-TEST-OGTT-IN-ILORIN-NIGERIA","https://scholar.google.com/scholar?q=related:IB93ViT0Qu4J:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2010&as_vis=1"
94,"A Hussain, S Vaaler, MA Sayeed…","Type 2 diabetes and impaired fasting blood glucose in rural Bangladesh: a population-based study",2007,"… European Journal of …","academic.oup.com","https://academic.oup.com/eurpub/article-abstract/17/3/291/721585","https://scholar.google.com/scholar?cites=7501102997703645118&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-07-31 08:05:57","","","","",,,,,94,6.71,24,4,14,"… Results: The study population was lean [mean body mass index (BMI) 19.4] with a low prevalence of type 2 diabetes but relatively high impaired fasting glucose … Table 1 Prevalence of diabetes and impaired fasting glucose by age and sex, Tangail, Dhaka, Bangladesh, 1999 …","https://academic.oup.com/eurpub/article/17/3/291/721585","https://scholar.google.com/scholar?q=related:vle-EW9FGWgJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2010&as_vis=1"
20,"ISI Ogbu, CI Neboh","The prevalence of prediabetes among hypertensive patients in Enugu, southeast Nigeria",2009,"Nigerian Medical Journal","nigeriamedj.com","https://nigeriamedj.com/article.asp?issn=0300-1652;year=2009;volume=50;issue=1;spage=14;epage=17;aulast=Ogbu","https://scholar.google.com/scholar?cites=9069784736348128231&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-07-31 08:05:57","HTML","","","",,,,,20,1.67,10,2,12,"… of Nigeria Teaching Hospital (UNTH), Ituku-Ozalla, in Enugu State of Southeastern Nigeria, were consecutively … Chen K., High L. Prevalence f impaired fasting glucose and type 2 diabetes mellitus in Benghu … Nigerian Medical Journal | Published by Wolters Kluwer - Medknow …","https://nigeriamedj.com/article.asp?issn=0300-1652;year=2009;volume=50;issue=1;spage=14;epage=17;aulast=Ogbu","https://scholar.google.com/scholar?q=related:50NK9ylZ3n0J:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2010&as_vis=1"
