Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
46,"CECC Ejike, NK Uka, ...","Diabetes and pre-diabetes in adult Nigerians: Prevalence, and correlations of blood glucose concentrations with measures of obesity",2015,"African Journal of …","academicjournals.org","https://academicjournals.org/journal/AJBR/article-abstract/90DCAF752045","https://scholar.google.com/scholar?cites=14605766791247326487&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-07-31 04:58:08","","","","",,,,,46,7.67,15,3,6,"… disease and BMI-metabolic-risk sub-phenotypes in an adult Nigerian population … A populationbased study of the prevalence of diabetes and impaired glucose tolerance in adults in northern … in Calabar: a cross-sectional observational study among residents of Calabar, Nigeria …","https://academicjournals.org/journal/AJBR/article-full-text-pdf/90DCAF752045","https://scholar.google.com/scholar?q=related:F21-EIMbssoJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2015&as_vis=1"
1,"T Jaja, B Okoh","Oral Glucose Tolerance Test among Adolescents with Impaired Fasting Blood Glucose",2015,"Nigerian Health Journal","ajol.info","https://www.ajol.info/index.php/nhj/article/view/133247","https://scholar.google.com/scholar?cites=5162741909253612072&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-07-31 04:58:08","","","","",,,,,1,0.17,1,2,6,"… significant difference in prevalence of hypertension, overweight/obesity and hypertension in group with or without impaired glucose tolerance … data suggest diabetes is emerging as a major health problem in Africa including Nigeria 1 • This … The Nigerian Health Journal, Vol …","https://www.ajol.info/index.php/nhj/article/view/133247/122857","https://scholar.google.com/scholar?q=related:KGIVwGm-pUcJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2015&as_vis=1"
5,"Q Xiao, LP Wang, ZS Ran, ...","Changes of plasma tumor necrosis factor α and C-reactive protein levels in patients with hypertension accompanied by impaired glucose tolerance and their clinical …",2015,"Asian Pacific Journal of …","koreascience.or.kr","https://www.koreascience.or.kr/article/JAKO201528551641061.page","https://scholar.google.com/scholar?cites=6931887728831388626&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-07-31 04:58:08","","","","",,,,,5,0.83,1,4,6,"… DOI:http://dx.doi.org/10.7314/APJCP.2015.16.8.3389 Plasma TNFα and C-Reactive Protein in Patients with Hypertension Accompanied by Impaired Glucose Tolerance … Akande TO, Adeleye JO, Kadiri S, et al (2013). Insulin resistance in Nigerians with essential hypertension …","https://www.koreascience.or.kr/article/JAKO201528551641061.pdf","https://scholar.google.com/scholar?q=related:0lvioykDM2AJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2015&as_vis=1"
18,"EU Nwose, VM Oguoma, PT Bwititi, ...","Metabolic syndrome and prediabetes in ndokwa community of Nigeria: preliminary study",2015,"North American journal …","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4358049/","https://scholar.google.com/scholar?cites=9531960248488006789&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-07-31 04:58:08","HTML","","","",,,,,18,3.00,5,4,6,"… high prevalence of prediabetes using impaired fasting glucose (IFG) or impaired glucose tolerance (IGT) as … the Principal of Abbi Grammar School, Abbi; Ndokwa West local government of Nigeria. The Nigerian High Commissioner to Australia also supported this work during the …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4358049/","https://scholar.google.com/scholar?q=related:hZRF8FdTSIQJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2015&as_vis=1"
14,"IO Oluwayemi, SJ Brink, EE Oyenusi, ...","Fasting blood glucose profile among secondary school adolescents in Ado-Ekiti, Nigeria",2015,"Journal of nutrition and …","hindawi.com","https://www.hindawi.com/journals/jnme/2015/417859/","https://scholar.google.com/scholar?cites=13784463813539566513&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-07-31 04:58:08","HTML","","","",,,,,14,2.33,4,4,6,"… and coronary heart diseases globally [1–3]. Increased risk of impaired glucose tolerance, insulin resistance … Data on FBG among Nigerian adolescents are scarce, hence the need for the present … Ekiti, a relatively new and rapidly developing state capital in Nigeria with changes in …","https://www.hindawi.com/journals/jnme/2015/417859/","https://scholar.google.com/scholar?q=related:sZNAIc5ATL8J:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2015&as_vis=1"
1,"AH Salami, CO Agboghoroma, JAF Momoh","The prevalence and risk factors for gestational diabetes and pregnancy outcome in a tertiary hospital in Ahuja, Nigeria",2015,"Tropical Journal of Obstetrics …","ajol.info","https://www.ajol.info/index.php/tjog/article/view/125053","https://scholar.google.com/scholar?cites=1964451867601921925&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-07-31 04:58:08","","","","",,,,,1,0.17,0,3,6,"… Abuja, Nigeria. This is a tertiary hospital and main … j) (1) . Augusl 2015 gestational hyperglycemia associated with maternal gestational diabetes mellitus in Nigerian women 15. 16. 17. 18. 19 … outcomes of pregnancies complicated with gestational impaired glucose tolerance and …","https://www.ajol.info/index.php/tjog/article/download/125053/114586","https://scholar.google.com/scholar?q=related:hefDwpAiQxsJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2015&as_vis=1"
0,"SJ Brink","Fasting Blood Glucose Profile among Secondary School Adolescents in Ado-Ekiti, Nigeria",2015,"","academia.edu","https://www.academia.edu/download/46944814/Fasting_Blood_Glucose_Profile_among_Seco20160701-8894-1rka3i1.pdf","",7,"2021-07-31 04:58:08","PDF","","","",,,,,0,0.00,0,1,6,"… and coronary heart diseases globally [1–3]. Increased risk of impaired glucose tolerance, insulin resistance … Data on FBG among Nigerian adolescents are scarce, hence the need for the present … Ekiti, a relatively new and rapidly developing state capital in Nigeria with changes in …","https://www.academia.edu/download/46944814/Fasting_Blood_Glucose_Profile_among_Seco20160701-8894-1rka3i1.pdf","https://scholar.google.com/scholar?q=related:dyNUtLikuwoJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2015&as_vis=1"
0,"CI Okafor, CE Okoli","CB Nwatu, EN Ofoegbu, CN Unachukwu, EE Young",,"researchgate.net","","https://www.researchgate.net/profile/Christian-Ifedili-Okafor/publication/279213499_Prevalence_of_prediabetes_and_associated_risk_factors_in_a_rural_Nigerian_community/links/55b6fa9508aed621de044495/Prevalence-of-prediabetes-and-associated-risk-factors-in-a-rural-Nigerian-community.pdf","",8,"2021-07-31 04:58:08","PDF","","","",,,,,0,0.00,0,2,,"… of prediabetes (IFG and IGT) at 21.5 % was found in this rural Nigerian community … Prevalence of diabetes mellitus and impaired glucose tolerance in a group of urban adults in Nigeria … High prevalence and low awareness of hypertension in a market population in Enugu, Nigeria …","https://www.researchgate.net/profile/Christian-Ifedili-Okafor/publication/279213499_Prevalence_of_prediabetes_and_associated_risk_factors_in_a_rural_Nigerian_community/links/55b6fa9508aed621de044495/Prevalence-of-prediabetes-and-associated-risk-factors-in-a-rural-Nigerian-community.pdf","https://scholar.google.com/scholar?q=related:xzrMm2qHdGMJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2015&as_vis=1"
7,"T Jaja, AO Oduwole, B Fetuga, ...","Prevalence of prediabetes in secondary school students in Port Harcourt, Nigeria",2015,"African …","africanjournalofdiabetesmedicine …","https://www.africanjournalofdiabetesmedicine.com/articles/7.%20AJDM-489%20(Jaja).pdf","https://scholar.google.com/scholar?cites=396282468162013779&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-07-31 04:58:08","PDF","","","",,,,,7,1.17,2,4,6,"… higher insulin resistance recorded in early adolescence.13 We conclude that prediabetes is prevalent in second- ary school students in Port Harcourt, Nigeria … 4. Sicree R, Shaw J, Zimmet P. Diabetes Atlas, IDF.4. The global bur- den: diabetes and impaired glucose tolerance …","https://www.africanjournalofdiabetesmedicine.com/articles/7.%20AJDM-489%20(Jaja).pdf","https://scholar.google.com/scholar?q=related:UwqDIc7gfwUJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2015&as_vis=1"
1,"SS Onasanya, RO Tijani, TO Onasanya, ...","… artemeter-lumefantrine (Co-ArtemR) for the treatment of uncomplicated plasmodium falciparum T Malaria in Ijebu ode local government health services in Nigeria",2015,"Clinical …","clinicaltherapeutics.com","https://www.clinicaltherapeutics.com/article/S0149-2918(15)00342-2/abstract","https://scholar.google.com/scholar?cites=4287720737910054827&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-07-31 04:58:08","","","","",,,,,1,0.17,0,4,6,"… and tolerability of two fixed- dose formulation of ACT, artemisinin-piperaquine (ArtequickR) and (Coartem), for the treat- ment of P. falciparum in Nigeria … The unregulated use of this over-the-counter drug might be a risk factor for impaired glucose tolerance and type 2 diabetes.","https://www.clinicaltherapeutics.com/article/S0149-2918(15)00342-2/pdf","https://scholar.google.com/scholar?q=related:q180N0sLgTsJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2015&as_vis=1"
