Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"H Ibrahim, FH Puepet, SB Muazu…","… and risk factors for impaired glucose regulation among first-degree relatives of patients with type 2 diabetes mellitus in Maiduguri, Northeastern Nigeria",2020,"Journal of …","journalofdiabetology.org","https://www.journalofdiabetology.org/article.asp?issn=2078-7685;year=2020;volume=11;issue=1;spage=25;epage=31;aulast=Ibrahim","",1,"2021-07-31 07:13:36","HTML","","","",,,,,0,0.00,0,4,1,"… 20. Bakari AG, Onyemelukwe GC. Glucose intolerance among apparently healthy Hausa-Fulani in Northern Nigeria … High prevalence of diabetes and impaired glucose tolerance in India: National Urban Diabetes Survey … Serum lipids in Nigerians: The effect of diabetes mellitus …","https://www.journalofdiabetology.org/article.asp?issn=2078-7685;year=2020;volume=11;issue=1;spage=25;epage=31;aulast=Ibrahim","https://scholar.google.com/scholar?q=related:oHzfIglfgAMJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2021&as_vis=1"
0,"CB Nwosu, S Yohanna, EC Anako…","Sociodemographic profile and clinical determinants of prediabetes among adults at the Aminu Kano Teaching Hospital, Kano, Nigeria",2020,"Nigerian Journal of Family …","ajol.info","https://www.ajol.info/index.php/njfp/article/view/204402","",2,"2021-07-31 07:13:36","","","","",,,,,0,0.00,0,4,1,"… and clinical determinants of prediabetes among adults at the General Out-patient Clinic of Aminu Kano Teaching Hospital, Kano Nigeria … Of the 71 with prediabetes 16 (22.5 %) had impaired fasting glucose, 43 (60.5%) had impaired glucose tolerance while 12 (17%) had both …","",""
0,"IO Ohuche, UN Chikani, EE Oyenusi, JU Onu…","Correlates of fasting blood glucose among children living with hiv in a Nigerian tertiary hospital: a cross-sectional study",2020,"BMC pediatrics","Springer","https://link.springer.com/article/10.1186/s12887-020-02335-y","",3,"2021-07-31 07:13:36","HTML","10.1186/s12887-020-02335-y","","",,,,,0,0.00,0,5,1,"… approved by the Health Research Ethics Committee of the University of Nigeria Teaching Hospital … variable) was due to the small number of participants in the category of impaired glucose tolerance … highlights of the findings of this cross-sectional study of Nigerian children living …","https://link.springer.com/article/10.1186/s12887-020-02335-y","https://scholar.google.com/scholar?q=related:yVN3jNz4CssJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2021&as_vis=1"
4,"M Dikko, OB Shaibu, C Aminu, IA Mungadi…","Determination of Oral Glucose Tolerance (OGT) of benign prostatic hyperplasia patients treated with tamsulosin in Sokoto state, Nigeria",2020,"Nigerian Journal of …","nijophasr.net","https://www.nijophasr.net/index.php/nijophasr/article/view/341","https://scholar.google.com/scholar?cites=9679219677125498940&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-07-31 07:13:36","","","","",,,,,4,4.00,1,5,1,"… Olugbake OA, Adeyemi OC, Ogbonna OC (2019). Pharmacists knowledge and practice of adverse effects of common analgesics in Suru-Lere, Lagos state,Nigeria.Nigerian Journal of Pharmaceutical and Applied Science Research 8(2):114-119. Riedl MA, Casillas AM (2003) …","https://www.nijophasr.net/index.php/nijophasr/article/download/341/208","https://scholar.google.com/scholar?q=related:PFgJfgN_U4YJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2021&as_vis=1"
0,"EO Taiwo, LO Thanni","Physical Exercise and Glucose Tolerance in Nigerian University Students",2020,"Annals of Health Research","annalsofhealthresearch.com","https://www.annalsofhealthresearch.com/index.php/ahr/article/view/300","",5,"2021-07-31 07:13:36","","","","",,,,,0,0.00,0,2,1,"… [2] The last time a nationwide population estimate of DM was undertaken in Nigeria was during the 1992 Nigerian National Non … T2D) and it is often associated with a clustering of abnormalities such as hyperinsulinemia, impaired glucose tolerance (IGT), hypertension …","https://www.annalsofhealthresearch.com/index.php/ahr/article/download/300/200","https://scholar.google.com/scholar?q=related:v8sNQm2T5PsJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2021&as_vis=1"
1,"D Wang, W Ding, S Xu, H Chen…","The relationship between total cholesterol and postpartum impaired glucose tolerance in women with gestational diabetes mellitus",2020,"Lipids in health and …","lipidworld.biomedcentral.com","https://lipidworld.biomedcentral.com/articles/10.1186/s12944-020-01316-5","https://scholar.google.com/scholar?cites=12369684523237827522&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-07-31 07:13:36","HTML","10.1186/s12944-020-01316-5","","",,,,,1,1.00,0,5,1,"History of gestational diabetes mellitus (GDM) and serum lipid abnormalities were associated with postpartum impaired glucose tolerance. To investigate the association between concentration of total cholesterol (TC), at the time of GDM diagnosis, and risk of postpartum glucose …","https://lipidworld.biomedcentral.com/articles/10.1186/s12944-020-01316-5","https://scholar.google.com/scholar?q=related:wuM8V4nyqasJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2021&as_vis=1"
0,"O Michael, L Adedayo, O Bamidele…","ACETATE AMELIORATES GLUCOSE DYSREGULATION AND NEUROBEHAVIOURAL DEFICIT IN DEXAMETHASONE PLUS SCOPOLAMINE-TREATED MICE: GUT …",2021,"Journal of …","journals.lww.com","https://journals.lww.com/jhypertension/Abstract/2021/04001/ACETATE_AMELIORATES_GLUCOSE_DYSREGULATION_AND.516.aspx","",7,"2021-07-31 07:13:36","","","","",,,,,0,0.00,0,4,1,"Objective: Cardiometabolic disorders have been shown to be associated with the etiology of neurod.","",""
0,"CB Nwatu, EE Young","Prediabetes in sub-saharan Africa: Pathophysiology, predictors, and prevalence",2020,"Nigerian Journal of Medicine","njmonline.org","https://www.njmonline.org/article.asp?issn=1115-2613;year=2020;volume=29;issue=3;spage=343;epage=350;aulast=Nwatu","",8,"2021-07-31 07:13:36","HTML","","","",,,,,0,0.00,0,2,1,"… Prevalence of diabetes mellitus and impaired glucose tolerance in a group of urban adults in Nigeria … Prevalence of prediabetes among hypertensive patients in Enugu, South-east Nigeria … Prevalence of prediabetes and associated risk factors in a rural Nigerian community …","https://www.njmonline.org/article.asp?issn=1115-2613;year=2020;volume=29;issue=3;spage=343;epage=350;aulast=Nwatu","https://scholar.google.com/scholar?q=related:26lsdQJ__qUJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2021&as_vis=1"
0,"KO Inaku, ID Nnakenyi, LC Imohc…","… The Knowledge, Attitude And Practice (KAP) of Prediabetes Management Among Healthcare Providers in Four Tertiary Hospitals In Nigeria: An Observational-Based …",2021,"… in Bioscience and …","journals.aiac.org.au","http://www.journals.aiac.org.au/index.php/ABCMED/article/view/6533","",9,"2021-07-31 07:13:36","","","","",,,,,0,0.00,0,4,1,"… 5) While in an- other study involving adults in a rural Nigerian population, the … among adult subjects aged 18 years and older in Umudike, South-East Nigeria, the prevalence … In a meta-anal- ysis, it was shown that in people with impaired glucose tolerance, lifestyle interventions …","https://www.journals.aiac.org.au/index.php/ABCMED/article/viewFile/6533/4552","https://scholar.google.com/scholar?q=related:5q1Aa2Wyy9EJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2021&as_vis=1"
0,"JC Okafor, AB Adepoju","Nutritional Status and Blood Glucose Level of Elderly Residing In Ilaro, Ogun State, Nigeria",2020,"IOSR Journal of …","eprints.federalpolyilaro.edu.ng","http://eprints.federalpolyilaro.edu.ng/357/","",10,"2021-07-31 07:13:36","","","","",,,,,0,0.00,0,2,1,"… Prevalence of diabetes mellitus and impaired glucose tolerance in a group of urban adults in Nigeria … Diabetes Mellitus in Lagos (Nigeria): A study of the prevalence of the disorder in an African Urban Community … Prevalence of diabetes mellitus in a Nigerian population …","http://eprints.federalpolyilaro.edu.ng/357/1/Adepoju%20and%20Okarfor%20%28IOSR-%20JOURNAL%29%202020.pdf","https://scholar.google.com/scholar?q=related:1VLc7Zmp0H0J:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2021&as_vis=1"
